Hedge	Type
about	hProp
allegedly	hProp
apparently	hProp
appear	hRel
approximately	hProp
arguably	hRel
around	hProp
assume	hRel
basic	hProp
basically	hProp
believe	hRel
completely	hProp
consider	hRel
could	hRel
doubt	hRel
estimate	hRel
etc	hProp
expect	hRel
fair	hProp
fairly	hProp
feel	hRel
find	hRel
frequently	hProp
general	hProp
generally	hProp
guess	hRel
hear	hRel
imagine	hRel
impression	hRel
kinda	hProp
know	hRel
largely	hProp
like	hProp
likely	hRel
mainly	hProp
may	hRel
maybe	hRel
might	hRel
most	hProp
mostly	hProp
much	hProp
necessarily	hRel
occasionally	hProp
often	hProp
partial	hProp
partially	hProp
partly	hProp
perhaps	hRel
possible	hProp
possibly	hRel
practically	hProp
presumably	hRel
pretty	hProp
probable	hProp
probably	hRel
rarely	hProp
rather	hProp
read	hRel
really	hProp
relatively	hProp
rough	hProp
roughly	hProp
say	hRel
seem	hRel
seemingly	hRel
seldom	hProp
several	hProp
should	hRel
speculate	hRel
suggest	hRel
suppose	hRel
sure	hRel
tend	hRel
think	hRel
totally	hProp
understand	hRel
unlikely	hProp
unsure	hRel
usually	hProp
virtually	hProp
