Hedge	Type
a bit	hProp
a bunch	hProp
a couple	hProp
a few	hProp
a little	hProp
a whole bunch	hProp
according to	hRel
among others	hProp
and all that	hProp
and so forth	hProp
and so on	hProp
and suchlike	hProp
at least	hProp
et cetera	hProp
for the most part	hProp
I mean	hRel
I would say	hRel
in a way	hProp
in my mind	hRel
in my opinion	hRel
in my understanding	hRel
in my view	hRel
in part	hProp
in some ways	hProp
kind of	hProp
look like	hRel
looks like	hRel
more or less	hProp
my thinking	hRel
my understanding	hRel
pretty much	hProp
something or other	hProp
sort of	hProp
sound like	hRel
sounds like	hRel
to a certain extent	hProp
to some extent	hProp
