meeting@5@n@omega	P2804
drive@8@n	P2727
sharpen@1@v	P14168
declare@1@v	P10004
tank@2@n@omega	P2968
scramble@2@v	P17619,P17553
goal@6@n@omega	P3154
bench@5@n@omega	P1114
excavation@1@n	P1400
identification@3@n@omega	P2349
security@5@n@omega	P1834
line@1@n	P1814
employment@2@n@omega	P2734
disaster@1@n	P2967
cost@2@n	P2973
teacher@1@n	P1975
shelter@4@n	P1848
state@4@n@omega	P1900
village@2@n	P2051
utterance@1@n@omega	P2553
terrorist@1@n	P1980
observation@1@n	P2392
piece@11@n@omega	P1692
gap@2@n@omega	P1880
hunter@3@n	P1544
observation@5@n@omega	P2392
movie@2@n	P2382
field@11@n@omega	P1436
help@6@n@omega	P2630
offensive@2@n	P2643
interpretation@6@n@omega	P2594
prototype@2@n@omega	P2476
product@5@n	P2467
variety@3@n	P2590
support@14@n@omega	P1947
blockage@4@n@omega	P1126
cut@6@v	P17505
defense@13@n@omega	P2966
struggle@2@n	P2321
amusement@1@n	P2634
appreciation@2@n	P2131
stretch@3@v	P10588
volume@4@n	P2055
fight@5@n@omega	P2763
body@5@n	P2957
firm@3@n@omega	P1540
room@1@n	P2978
win@2@v	P12010
fire@2@v	P13542
maximize@1@v	P14139
house@7@n	P1540
bank@2@n	P1067
type@5@n@omega	P2582
thanks@1@n	P2497
recipe@1@n	P2792
worry@2@n@omega	P3004
grievance@1@n@omega	P2781
pattern@3@n	P1331
laugh@2@v	P10134
slice@6@n@omega	P2905
administration@3@n	P1011
image@3@n	P2355
ratify@1@v	P17115
missile@1@n@omega	P1636
print@5@n@omega	P2582
quit@3@v	P16521
explosive@2@n	P1411
bound@6@n@omega	P2365
argument@1@n	P2689
entry@8@n@omega	P1386
channel@2@n	P1221
store@5@n	P1925
period@6@n	P2829
reality@6@n@omega	P2489
stick@1@v	P17610
pool@7@n	P1729
interruption@2@n	P3167
ring@2@v	P13016
pillar@5@n@omega	P1251
cut@28@n@omega	P1736
device@8@n@omega	P2714
training_program@1@n	P3419
propose@2@v	P10123
base@2@n	P1097
print@1@n	P2582
deal@7@n@omega	P1310
liquidate@4@v	P16208
thrust@3@n	P2931
notice@1@v	P17000
appointment@6@n	P2639
column@5@n	P1254
spring@4@n	P2908
network@2@n@omega	P1652
certification@4@n	P2184
drive@10@n	P2721
endeavor@2@n	P2995
foot@5@n	P1449
run@9@v	P17708
volume@3@n	P2054
party@6@n@omega	P1678
mission@1@n@omega	P2794
piece@18@n@omega	P1694
connect@4@v	P10138
possibility@5@n@omega	P2453
realization@7@n@omega	P2492
adventurer@2@n	P2624
picture@3@n	P2428
fare@3@n@omega	P2758
homosexuality@1@n	P3431
cost@1@n	P2973
piece@6@n	P2833
store@1@n@omega	P2915
stem@4@v	P13541
allegation@1@n	P2671
position@13@n@omega	P2842
administration@7@n@omega	P1012
exposition@2@n@omega	P2361
justification@1@n	P2338
thickness@1@n@omega	P1983
find@6@v	P17011
result@7@n@omega	P2519
stop@4@v	P16518
agreement@1@n	P2116
catalyst@1@n	P1203
movie@2@n@omega	P2428
attachment@1@n@omega	P2144
scheme@4@n@omega	P2896
embodiment@4@n@omega	P2273
dig@3@v	P17052
bar@11@n	P1078
blow@5@n@omega	P3104
depiction@4@n@omega	P2427
bond@8@n@omega	P2159
syndicate@3@n	P1956
enemy@2@n	P2278
roll@9@v	P10151
project@3@v	P12502
limit@1@n	P2999
open@2@v	P16505
cell@7@n@omega	P2670
acceptance@7@n@omega	P2950
transform@2@v	P11042
death_penalty@1@n	P3390
proceed@1@v	P16508
volume@4@n@omega	P2054
slip@1@v	P10524
respond@2@v	P10119
slice@3@n@omega	P2903
bat@3@n@omega	P1106
blank@3@n@omega	P2662
justification@2@n@omega	P2338
parcel@5@n@omega	P1109
mission@4@n@omega	P2812
admission@3@n	P2112
observation@3@n	P2393
gamble@3@n@omega	P2778
arsenal@3@n@omega	P1044
project@2@v	P13052
certification@1@n	P2181
culmination@3@n	P2221
talk@3@v	P10058
misfortune@2@n	P2808
department@3@n	P1036
pool@3@n@omega	P1726
car@3@n	P1196
factory@1@n@omega	P1418
computer_science@1@n	P3407
batch@2@n@omega	P1109
goal@4@n@omega	P3153
attack@7@n@omega	P2649
engagement@11@n@omega	P2738
kick@8@v	P14131
function@1@n	P2772
foot@7@n@omega	P1451
arrive@1@v	P10503
fee@2@n@omega	P2973
fight@1@n@omega	P2765
ground@8@n	P1495
identification@1@n	P2496
install@1@v	P16004
market@1@v	P12002
stoppage@1@n	P3157
appreciation@1@n@omega	P2193
ground@10@n@omega	P1493
shop@2@n	P1850
termination@3@n	P2518
cause@2@n	P2338
blow@10@n@omega	P3107
monolith@2@n@omega	P1643
supply@4@n@omega	P2984
foundation@3@n	P1455
clip@8@n	P3132
drop@5@n	P1373
contain@3@v	P13026
power@8@n@omega	P1741
accident@2@n	P1004
boom@2@v	P10076
aquarium@1@n	P1033
sector@4@n@omega	P1036
